title,company,location,salary,skills,link,source
Video Editor,Maxlite Digital Marketing,Noida,"₹ 3,00,000","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Creativity, Graphic Design, Social Media Marketing, Video Editing, Video Making",https://internshala.com/job/detail/fresher-video-editor-job-in-noida-at-maxlite-digital-marketing1744862969,Internshala
Junior Social Media Marketing Associate,Educase India,Hyderabad,"₹ 3,00,000","Content Writing, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Social Media Marketing, Video Making,   ",https://internshala.com/job/detail/fresher-junior-social-media-marketing-associate-job-in-hyderabad-at-educase-india1744811704,Internshala
Associate Software Developer,Asindia Innovations Private Limited,Work from home,"₹ 3,00,000","MongoDB, Node.js, React, SQL,   ",https://internshala.com/job/detail/fresher-remote-associate-software-developer-job-at-asindia-innovations-private-limited1744793426,Internshala
Accounts And Operations Executive,RealX,Pune,"₹ 3,00,000","Accounting,",https://internshala.com/job/detail/accounts-and-operations-executive-job-in-pune-at-realx1744717828,Internshala
Junior Cinematographer,Brand Scale-Up Inc,Bangalore,"₹ 3,00,000","Adobe After Effects, Adobe Premiere Pro, Video Editing,",https://internshala.com/job/detail/fresher-junior-cinematographer-job-in-bangalore-at-brand-scale-up-inc1744626183,Internshala
Digital Marketing Associate,Keen Hexagon Realty Private Limited,Bangalore,"₹ 3,00,000","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Ads, Facebook Marketing, Instagram Ads, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing,   ",https://internshala.com/job/detail/digital-marketing-associate-job-in-bangalore-at-keen-hexagon-realty-private-limited1744443137,Internshala
Account Officer,Accessibility Redefined Private Limited,Mumbai,"₹ 3,00,000","MS-Excel, Tally",https://internshala.com/job/detail/account-officer-job-in-mumbai-at-accessibility-redefined-private-limited1744441543,Internshala
Filed Sales Executive,Accura Trade Link,Pune,"₹ 3,00,000",Marketing,https://internshala.com/job/detail/filed-sales-executive-job-in-multiple-locations-at-accura-trade-link1744376802,Internshala
Business Development Executive,CloudJournee Technologies,Bangalore,"₹ 3,00,000","English Proficiency (Written), Social Media Marketing,   ",https://internshala.com/job/detail/fresher-business-development-executive-job-in-bangalore-at-cloudjournee-technologies1744369306,Internshala
Associate Telecaller,CYBER ALCHEMIST,Work from home,"₹ 3,00,000","English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel",https://internshala.com/job/detail/remote-associate-telecaller-job-at-cyber-alchemist1744362152,Internshala
Junior Front End Developer,TheCoinRepublic,Bhopal,"₹ 3,00,000","AngularJS, Bootstrap, HTML, JavaScript, React, REST API",https://internshala.com/job/detail/junior-front-end-developer-job-in-bhopal-at-thecoinrepublic1744359364,Internshala
Script Research + Writer,Autthia,Work from home,"₹ 3,00,000","Creative Writing, English Proficiency (Spoken), English Proficiency (Written)",https://internshala.com/job/detail/remote-script-research-writer-job-at-autthia1744343597,Internshala
Script Researcher & Writer,Autthia,Work from home,"₹ 3,00,000","Creative Writing, English Proficiency (Spoken), English Proficiency (Written)",https://internshala.com/job/detail/remote-script-researcher-writer-job-at-autthia1744284749,Internshala
Corporate Sales Associate,Watch Your Health,Mumbai,"₹ 3,00,000","Lead Generation, Marketing, Sales",https://internshala.com/job/detail/fresher-corporate-sales-associate-job-in-mumbai-at-watch-your-health1744266624,Internshala
Mobile App Developer,Digital Guruji,Delhi,"₹ 3,00,000","English Proficiency (Written),   ",https://internshala.com/job/detail/fresher-mobile-app-developer-job-in-delhi-at-digital-guruji1744263108,Internshala
Support Executive – Customer Onboarding & Technical Support,DeeGee Techlytics Solutions Private Limited,Gurgaon,"₹ 3,00,000","Client Interaction, Client Relationship, Client Relationship Management (CRM), Computer skills, Coordination, Effective Communication, Interpersonal skills, Problem Solving, Technical Support",https://internshala.com/job/detail/support-executive--customer-onboarding-technical-support-job-in-gurgaon-at-deegee-techlytics-solutions-private-limited1744196217,Internshala
Recruitment Specialist,TIGI HR Solution Private Limited,Ahmedabad,"₹ 3,00,000","English Proficiency (Spoken), English Proficiency (Written), Recruitment,",https://internshala.com/job/detail/fresher-recruitment-specialist-job-in-ahmedabad-at-tigi-hr-solution-private-limited1744190517,Internshala
Full Stack Developer,Zenius IT Services Private Limited,Hyderabad,"₹ 3,00,000","AngularJS, CSS, HTML, JavaScript, MySQL, Node.js, Python, React,",https://internshala.com/job/detail/full-stack-developer-job-in-hyderabad-at-zenius-it-services-private-limited1744189004,Internshala
Finance Executive,Prowess Insurance Brokers,Thane,"₹ 3,00,000","English Proficiency (Spoken), MS-Excel, MS-Office,Cab/Transportation facility,",https://internshala.com/job/detail/finance-executive-job-in-multiple-locations-at-prowess-insurance-brokers1744188471,Internshala
UI/UX Designer,TIGER MOBILITY SOLUTIONS PVT LTD,Work from home,"₹ 3,00,000","Figma, UI & UX Design, Wireframing,   ",https://internshala.com/job/detail/remote-ui-ux-designer-job-at-tiger-mobility-solutions-pvt-ltd1744187309,Internshala
Field Sales Associate,ArborVitae,Delhi,"₹ 3,00,000","English Proficiency (Spoken), Hindi Proficiency (Spoken), Kannada Proficiency (Spoken)",https://internshala.com/job/detail/fresher-field-sales-associate-job-in-multiple-locations-at-arborvitae1744094762,Internshala
Media Manager,LKAV Consulting LLP,Chandigarh,"₹ 3,00,000","Content Marketing, Digital Marketing, Facebook Ads, Google Analytics, Instagram Ads, Search Engine Optimization (SEO), Social Media Marketing, Strategy,",https://internshala.com/job/detail/media-manager-job-in-chandigarh-at-lkav-consulting-llp1744093510,Internshala
Junior Social Media Marketing Executive,Rashi Boutique Private Limited,Kolkata,"₹ 3,00,000","Content Editing, Content Marketing, Digital Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing,   ",https://internshala.com/job/detail/junior-social-media-marketing-executive-job-in-kolkata-at-rashi-boutique-private-limited1744026542,Internshala
Digital Marketing Associate,Datacultr,Gurgaon,"₹ 3,00,000","Digital Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",https://internshala.com/job/detail/digital-marketing-associate-job-in-gurgaon-at-datacultr1744024139,Internshala
Support Associate,PLS Lawers,Gurgaon,"₹ 3,00,000","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Office,Cab/Transportation facility,",https://internshala.com/job/detail/fresher-support-associate-job-in-gurgaon-at-pls-lawers1743076902,Internshala
Corporate Sales Associate,Surya Electronics India Private Limited,Pune,"₹ 3,00,000","English Proficiency (Spoken), Hindi Proficiency (Spoken), Marathi Proficiency(Spoken), MS-Office, Sales",https://internshala.com/job/detail/fresher-corporate-sales-associate-job-in-multiple-locations-at-surya-electronics-india-private-limited1742453552,Internshala
Sales Associate,Webpulse Solution Private Limited,Delhi,"₹ 2,97,600 - 6,21,000","Effective Communication,,",https://internshala.com/job/detail/fresher-sales-associate-job-in-delhi-at-webpulse-solution-private-limited1746181906,Internshala
3D Visualizor,Hempal Studio,Jaipur,"₹ 2,94,000 - 12,00,000","Animation, Autodesk 3ds Max, V-Ray",https://internshala.com/job/detail/3d-visualizor-job-in-jaipur-at-hempal-studio1745234879,Internshala
Customer Support Executive,AIM Placement Services,Indore,"₹ 2,93,000 - 5,11,000","Effective Communication,, Cab/Transportation facility,, Life Insurance",https://internshala.com/job/detail/fresher-customer-support-executive-job-in-multiple-locations-at-aim-placement-services1745126480,Internshala
Academic Counsellor,Cosmos Staffing Solutions,Gurgaon,"₹ 2,92,000 - 4,02,000","Effective Communication, Emotional intelligence, Interpersonal skills, Problem Solving, Sales Support",https://internshala.com/job/detail/academic-counsellor-job-in-gurgaon-at-cosmos-staffing-solutions1744629917,Internshala
Operations Associate,LawLevelUP,Ghaziabad,"₹ 2,92,000 - 4,00,000","Artificial intelligence, Computer skills, MS-Excel, Sales,   ",https://internshala.com/job/detail/fresher-operations-associate-job-in-ghaziabad-at-lawlevelup1746120538,Internshala
Corporate Sales Executive,Indian Turf,Delhi,"₹ 2,92,000 - 3,40,000","English Proficiency (Spoken), MS-Excel, MS-Office,   ",https://internshala.com/job/detail/corporate-sales-executive-job-in-delhi-at-indian-turf1744884598,Internshala
Corporate Sales Associate,Buddy4Health LLP,Work from home,"₹ 2,90,000 - 12,50,000","Digital Marketing, Email Marketing",https://internshala.com/job/detail/remote-corporate-sales-associate-job-at-buddy4health-llp1744714112,Internshala
Business Development Executive,Sanskrit E Solutions & Services Private Limited,Kolkata,"₹ 2,90,000 - 10,40,000","Business Development, Cold Calling, Computer skills, English Proficiency (Spoken), Lead Generation, Sales Management,   ",https://internshala.com/job/detail/business-development-executive-job-in-kolkata-at-sanskrit-e-solutions-services-private-limited1746101707,Internshala
Business Development Executive,Shivam Ahuja,Navi Mumbai,"₹ 2,90,000 - 10,00,000","Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), MS-Excel, MS-Office, Sales",https://internshala.com/job/detail/fresher-business-development-executive-job-in-navi-mumbai-at-shivam-ahuja1744976612,Internshala
US Technical Recruiter,Vizva Consultancy Services,Gurgaon,"₹ 2,90,000 - 7,40,000","English Proficiency (Spoken),, Cab/Transportation facility",https://internshala.com/job/detail/fresher-us-technical-recruiter-job-in-gurgaon-at-vizva-consultancy-services1745901821,Internshala
Business Development Manager,The Academic Insight,Bangalore,"₹ 2,90,000 - 6,60,000","Active Learning, Effective Communication, Email Marketing, English Proficiency (Spoken), Marketing, MS-Excel, Sales,",https://internshala.com/job/detail/business-development-manager-job-in-bangalore-at-the-academic-insight1745835818,Internshala
Corporate Sales Executive,Your Day Makers,Mumbai,"₹ 2,90,000 - 6,20,000","Client Relationship, Customer Acquisition, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Sales, Sales Management, Sales Strategy",https://internshala.com/job/detail/corporate-sales-executive-job-in-mumbai-at-your-day-makers1744106939,Internshala
Growth Manager/ Founders Associate,Green Feast,Jaipur,"₹ 2,90,000 - 5,80,000","English Proficiency (Spoken), English Proficiency (Written), MS-Excel,",https://internshala.com/job/detail/fresher-growth-manager-founders-associate-job-in-jaipur-at-green-feast1746365286,Internshala
Junior Business Development Associate,B2 Consultants,Work from home,"₹ 2,90,000 - 5,30,000","Active Learning, Analytical Thinking, Change Management, Collaboration, Coordination, Critical thinking, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Google Docs, Google Drive, Interpersonal skills, MS-Excel, Sales, Sales Strategy, Scheduling, Self-learning, Tamil Proficiency (Spoken), Teamwork",https://internshala.com/job/detail/fresher-remote-junior-business-development-associate-job-at-b2-consultants1745557082,Internshala
Business Development Specialist,RegisterKaro,Faridabad,"₹ 2,90,000 - 5,20,000","Email Marketing, English Proficiency (Spoken), Interpersonal skills, Lead Generation, Negotiation, Presentation skills, Prospecting, Sales, Sales Strategy, Self-learning,",https://internshala.com/job/detail/fresher-business-development-specialist-job-in-multiple-locations-at-registerkaro1746615698,Internshala
Digital Marketing Executive,Khel Sahayog Foundation,Bangalore,"₹ 2,90,000 - 5,10,000","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",https://internshala.com/job/detail/digital-marketing-executive-job-in-bangalore-at-khel-sahayog-foundation1746534578,Internshala
Electrical Sales Engineer,ENVO Sustainer Private Limited,Thane,"₹ 2,90,000 - 5,00,000","Electrical Machines, Sales",https://internshala.com/job/detail/electrical-sales-engineer-job-in-multiple-locations-at-envo-sustainer-private-limited1746265044,Internshala
Science Communicator- STEM Workshops,ScienceUtsav,Hyderabad,"₹ 2,90,000 - 4,80,000","Arduino, Effective Communication, English Proficiency (Spoken), Physics,",https://internshala.com/job/detail/fresher-science-communicator-stem-workshops-job-in-multiple-locations-at-scienceutsav1746535559,Internshala
Corporate Sales Executive,INFIACT Private Limited,Bangalore,"₹ 2,90,000 - 4,60,000","Business Development, Client Interaction, Cold Calling, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Sales,   ",https://internshala.com/job/detail/corporate-sales-executive-job-in-bangalore-at-infiact-private-limited1746174123,Internshala
Accountant,Glambox Xperience & Xpositions,Thane,"₹ 2,90,000 - 4,60,000","Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally",https://internshala.com/job/detail/accountant-job-in-multiple-locations-at-glambox-xperience-xpositions1744372055,Internshala
Event Management Executive,Cosmos Staffing Solutions,Noida,"₹ 2,90,000 - 4,20,000","Effective Communication, English Proficiency (Spoken), Event Management, Interpersonal skills, Management, Marketing, Negotiation, Organizational Development, Sales, Self-learning, Time Management",https://internshala.com/job/detail/event-management-executive-job-in-noida-at-cosmos-staffing-solutions1745584644,Internshala
Business Development Executive,PALLE TECHNOLOGIES,Bangalore,"₹ 2,90,000 - 4,20,000","English Proficiency (Spoken), Inside Sales, Sales,",https://internshala.com/job/detail/business-development-executive-job-in-bangalore-at-palle-technologies1744200412,Internshala
Business Development Executive(IT Sales),DI Infotech,Delhi,"₹ 2,90,000 - 4,00,000","Digital Marketing, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Sales,",https://internshala.com/job/detail/fresher-business-development-executive-job-in-delhi-at-di-infotech1743679515,Internshala
Business Development Executive,Krag Square Insights Center Pvt. Ltd.,Work from home,"₹ 2,90,000 - 4,00,000","Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-krag-square-insights-center-pvt-ltd1746281032,Internshala
Corporate Sales Associate,Ultrex Recreational Club,Gurgaon,"₹ 2,90,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), MS-Office",https://internshala.com/job/detail/corporate-sales-associate-job-in-gurgaon-at-ultrex-recreational-club1746269375,Internshala
Digital Marketing Executive,Amanzee,Kolkata,"₹ 2,90,000 - 3,60,000","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",https://internshala.com/job/detail/fresher-digital-marketing-executive-job-in-multiple-locations-at-amanzee1745553582,Internshala
Corporate Sales Executive,Webpulse Solution Private Limited,Delhi,"₹ 2,88,000 - 5,88,000","Digital Marketing, Effective Communication, English Proficiency (Spoken), English Proficiency (Written),,",https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-delhi-at-webpulse-solution-private-limited1745393787,Internshala
Executive Assistant & Appointment Setter,KP Singh Music,Work from home,"₹ 2,88,000 - 5,70,000","Administrative Support, ChatGPT, Client Relationship Management (CRM), Google Workspace, Punjabi Proficiency (Spoken), Scheduling",https://internshala.com/job/detail/remote-executive-assistant-appointment-setter-job-at-kp-singh-music1744454073,Internshala
Inside Sales Specialist,StampMyVisa,Delhi,"₹ 2,88,000 - 4,50,000","Business Development, Client Relationship, Client Relationship Management (CRM), Negotiations, Sales, Travel Management,",https://internshala.com/job/detail/inside-sales-specialist-job-in-multiple-locations-at-stampmyvisa1744185962,Internshala
Junior Social Media Marketing Manager,STAY ATLAS,Mumbai,"₹ 2,88,000 - 3,60,000","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",https://internshala.com/job/detail/junior-social-media-marketing-manager-job-in-mumbai-at-stay-atlas1745929330,Internshala
Business Development Executive,Shashi Sales & Marketing,Faridabad,"₹ 2,88,000 - 3,60,000","Active Learning, B2B Sales, Cold Calling, Data Analysis, Digital Marketing, Effective Communication, Emotional intelligence, Field Sales, Lead Generation, Market research, Negotiations, Presentation skills, Sales, Sales Strategy, Time Management,   ",https://internshala.com/job/detail/fresher-business-development-executive-job-in-multiple-locations-at-shashi-sales-marketing1746626868,Internshala
Corporate Sales Manager,Thinksonic Technologies Private Limited (i2v.in),Noida,"₹ 2,88,000 - 3,60,000","Client Relationship, English Proficiency (Spoken), English Proficiency (Written), Sales",https://internshala.com/job/detail/corporate-sales-manager-job-in-noida-at-thinksonic-technologies-private-limited-i2vin1744285163,Internshala
Art & Craft Teacher,Hustlr Staffing Services,Work from home,"₹ 2,88,000 - 3,00,000","Curriculum Development, Effective Communication, Interpersonal skills, Teaching",https://internshala.com/job/detail/remote-art-craft-teacher-job-at-hustlr-staffing-services1746445767,Internshala
Human Resource Recruiter,DIAGLITER LLP,Mumbai,"₹ 2,88,000","Adaptability, Analytical Thinking, Coordination, Effective Communication, Interview Coordination, Negotiations, Statutory compliances, Time Management,   ",https://internshala.com/job/detail/human-resource-recruiter-job-in-mumbai-at-diagliter-llp1745310818,Internshala
Omni Sport Leader - Fitness,Decathlon,Bangalore,"₹ 2,88,000","Effective Communication,",https://internshala.com/job/detail/fresher-omni-sport-leader-fitness-job-in-bangalore-at-decathlon1744213505,Internshala
Customer Support Executive,AIM Placement Services,Jabalpur,"₹ 2,87,000 - 6,16,000","Effective Communication,, Cab/Transportation facility,, Life Insurance",https://internshala.com/job/detail/fresher-customer-support-executive-job-in-multiple-locations-at-aim-placement-services1746102705,Internshala
